!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_3HAD161		0.9258	dimensionless	
equilibrium constant	R_SUCDi		2.182e+10	dimensionless	
equilibrium constant	R_ASNS1		3.404e+08	dimensionless	
equilibrium constant	R_EAR80y		21.09	dimensionless	
equilibrium constant	R_EAR120y		28.78	dimensionless	
equilibrium constant	R_3OAR181		2047	dimensionless	
equilibrium constant	R_3HAD121		0.9254	dimensionless	
equilibrium constant	R_EX_o2_e		5.191e+08	dimensionless	
equilibrium constant	R_EAR140x		673.2	dimensionless	
equilibrium constant	R_3OAS181		103.8	dimensionless	
equilibrium constant	R_3OAS140		16.09	dimensionless	
equilibrium constant	R_3OAR140		24.51	dimensionless	
equilibrium constant	R_EAR160y		27.96	dimensionless	
equilibrium constant	R_3OAR160		27.67	dimensionless	
equilibrium constant	R_3HAD181		0.9281	dimensionless	
equilibrium constant	R_EAR100y		30.53	dimensionless	
equilibrium constant	R_3OAR141		540.2	dimensionless	
equilibrium constant	R_3OAR161		528.6	dimensionless	
equilibrium constant	R_3HAD141		0.9245	dimensionless	
equilibrium constant	R_EAR121x		117.8	dimensionless	
equilibrium constant	R_ACONTa		16.71	dimensionless	
equilibrium constant	R_3HAD40		0.9613	dimensionless	
equilibrium constant	R_3OAS60		9.005	dimensionless	
equilibrium constant	R_3OAS160		7.481	dimensionless	
equilibrium constant	R_3OAR60		13.49	dimensionless	
equilibrium constant	R_3OAR80		15.01	dimensionless	
equilibrium constant	R_EAR100x		661.1	dimensionless	
equilibrium constant	R_EAR120x		623.1	dimensionless	
equilibrium constant	R_EAR160x		605.4	dimensionless	
equilibrium constant	R_EAR140y		31.09	dimensionless	
equilibrium constant	R_3OAS121		50.68	dimensionless	
equilibrium constant	R_3OAS80		10.4	dimensionless	
equilibrium constant	R_3OAS100		10.31	dimensionless	
equilibrium constant	R_3OAS120		10.64	dimensionless	
equilibrium constant	R_3OAR40		92.7	dimensionless	
equilibrium constant	R_3OAR100		14.67	dimensionless	
equilibrium constant	R_3HAD60		0.9577	dimensionless	
equilibrium constant	R_3HAD100		0.9756	dimensionless	
equilibrium constant	R_3HAD140		0.6557	dimensionless	
equilibrium constant	R_3HAD160		0.9381	dimensionless	
equilibrium constant	R_EAR40x		94.52	dimensionless	
equilibrium constant	R_EAR60y		20.26	dimensionless	
equilibrium constant	R_EAR60x		438.6	dimensionless	
equilibrium constant	R_EAR80x		456.7	dimensionless	
equilibrium constant	R_3OAR180		219.2	dimensionless	
equilibrium constant	R_3OAS180		45.93	dimensionless	
equilibrium constant	R_3HAD180		0.9368	dimensionless	
equilibrium constant	R_NADH16pp		3.475e+21	dimensionless	
